The original input was: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)
The (sorted) input is: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)

This detailed printout gives the state and remaining burst for each process

before cycle: 72 ready 0 	 blocked 1	 running 7	 unstarted 0	 unstarted 0
before cycle: 73 ready 0 	 ready 0 	 running 6	 unstarted 0	 unstarted 0
before cycle: 74 ready 0 	 ready 0 	 running 5	 unstarted 0	 unstarted 0
before cycle: 75 ready 0 	 ready 0 	 running 4	 unstarted 0	 unstarted 0
before cycle: 76 ready 0 	 ready 0 	 running 3	 unstarted 0	 unstarted 0
before cycle: 77 ready 0 	 ready 0 	 running 2	 unstarted 0	 unstarted 0
before cycle: 78 ready 0 	 ready 0 	 running 1	 unstarted 0	 unstarted 0
before cycle: 79 running 3	 ready 0 	 blocked 2	 unstarted 0	 unstarted 0
before cycle: 80 running 2	 ready 0 	 blocked 1	 unstarted 0	 unstarted 0
before cycle: 81 running 1	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 82 blocked 1	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 83 ready 0 	 blocked 1	 running 10	 unstarted 0	 unstarted 0
before cycle: 84 ready 0 	 ready 0 	 running 9	 unstarted 0	 unstarted 0
before cycle: 85 ready 0 	 ready 0 	 running 8	 unstarted 0	 unstarted 0
before cycle: 86 ready 0 	 ready 0 	 running 7	 unstarted 0	 unstarted 0
before cycle: 87 ready 0 	 ready 0 	 running 6	 unstarted 0	 unstarted 0
before cycle: 88 ready 0 	 ready 0 	 running 5	 unstarted 0	 unstarted 0
before cycle: 89 ready 0 	 ready 0 	 running 4	 unstarted 0	 unstarted 0
before cycle: 90 ready 0 	 ready 0 	 running 3	 unstarted 0	 unstarted 0
before cycle: 91 ready 0 	 ready 0 	 running 2	 unstarted 0	 unstarted 0
before cycle: 92 ready 0 	 ready 0 	 running 1	 unstarted 0	 unstarted 0
before cycle: 93 running 2	 ready 0 	 blocked 1	 unstarted 0	 unstarted 0
before cycle: 94 running 1	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 95 blocked 2	 running 5	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 96 blocked 1	 running 4	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 97 ready 0 	 running 3	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 98 ready 0 	 running 2	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 99 ready 0 	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 100 ready 0 	 blocked 2	 running 10	 unstarted 0	 unstarted 0
before cycle: 101 ready 0 	 blocked 1	 running 9	 ready 0 	 ready 0 
before cycle: 102 ready 0 	 ready 0 	 running 8	 ready 0 	 ready 0 
before cycle: 103 ready 0 	 ready 0 	 running 7	 ready 0 	 ready 0 
before cycle: 104 ready 0 	 ready 0 	 running 6	 ready 0 	 ready 0 
before cycle: 105 ready 0 	 ready 0 	 running 5	 ready 0 	 ready 0 
before cycle: 106 ready 0 	 ready 0 	 running 4	 ready 0 	 ready 0 
before cycle: 107 ready 0 	 ready 0 	 running 3	 ready 0 	 ready 0 
before cycle: 108 ready 0 	 ready 0 	 running 2	 ready 0 	 ready 0 
before cycle: 109 ready 0 	 ready 0 	 running 1	 ready 0 	 ready 0 
before cycle: 110 running 1	 ready 0 	 blocked 1	 ready 0 	 ready 0 
before cycle: 111 blocked 3	 ready 0 	 ready 0 	 running 1	 ready 0 
before cycle: 112 blocked 2	 ready 0 	 ready 0 	 blocked 2	 running 99
before cycle: 113 blocked 1	 ready 0 	 ready 0 	 blocked 1	 running 98
before cycle: 114 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 97
before cycle: 115 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 96
before cycle: 116 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 95
before cycle: 117 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 94
before cycle: 118 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 93
before cycle: 119 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 92
before cycle: 120 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 91
before cycle: 121 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 90
before cycle: 122 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 89
before cycle: 123 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 88
before cycle: 124 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 87
before cycle: 125 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 86
before cycle: 126 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 85
before cycle: 127 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 84
before cycle: 128 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 83
before cycle: 129 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 82
before cycle: 130 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 81
before cycle: 131 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 80
before cycle: 132 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 79
before cycle: 133 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 78
before cycle: 134 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 77
before cycle: 135 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 76
before cycle: 136 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 75
before cycle: 137 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 74
before cycle: 138 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 73
before cycle: 139 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 72
before cycle: 140 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 71
before cycle: 141 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 70
before cycle: 142 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 69
before cycle: 143 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 68
before cycle: 144 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 67
before cycle: 145 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 66
before cycle: 146 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 65
before cycle: 147 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 64
before cycle: 148 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 63
before cycle: 149 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 62
before cycle: 150 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 61
before cycle: 151 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 60
before cycle: 152 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 59
before cycle: 153 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 58
before cycle: 154 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 57
before cycle: 155 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 56
before cycle: 156 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 55
before cycle: 157 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 54
before cycle: 158 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 53
before cycle: 159 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 52
before cycle: 160 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 51
before cycle: 161 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 50
before cycle: 162 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 49
before cycle: 163 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 48
before cycle: 164 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 47
before cycle: 165 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 46
before cycle: 166 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 45
before cycle: 167 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 44
before cycle: 168 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 43
before cycle: 169 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 42
before cycle: 170 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 41
before cycle: 171 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 40
before cycle: 172 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 39
before cycle: 173 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 38
before cycle: 174 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 37
before cycle: 175 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 36
before cycle: 176 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 35
before cycle: 177 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 34
before cycle: 178 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 33
before cycle: 179 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 32
before cycle: 180 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 31
before cycle: 181 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 30
before cycle: 182 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 29
before cycle: 183 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 28
before cycle: 184 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 27
before cycle: 185 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 26
before cycle: 186 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 25
before cycle: 187 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 24
before cycle: 188 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 23
before cycle: 189 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 22
before cycle: 190 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 21
before cycle: 191 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 20
before cycle: 192 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 19
before cycle: 193 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 18
before cycle: 194 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 17
before cycle: 195 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 16
before cycle: 196 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 15
before cycle: 197 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 14
before cycle: 198 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 13
before cycle: 199 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 12
before cycle: 200 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 11
before cycle: 201 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 10
before cycle: 202 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 9
before cycle: 203 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 8
before cycle: 204 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 7
before cycle: 205 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 6
before cycle: 206 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 5
before cycle: 207 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 4
before cycle: 208 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 3
before cycle: 209 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 2
before cycle: 210 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 1
before cycle: 211 ready 0 	 running 3	 ready 0 	 ready 0 	 blocked 3
before cycle: 212 ready 0 	 running 2	 ready 0 	 ready 0 	 blocked 2
before cycle: 213 ready 0 	 running 1	 ready 0 	 ready 0 	 blocked 1
before cycle: 214 ready 0 	 blocked 1	 running 14	 ready 0 	 ready 0 
before cycle: 215 ready 0 	 ready 0 	 running 13	 ready 0 	 ready 0 
before cycle: 216 ready 0 	 ready 0 	 running 12	 ready 0 	 ready 0 
before cycle: 217 ready 0 	 ready 0 	 running 11	 ready 0 	 ready 0 
before cycle: 218 ready 0 	 ready 0 	 running 10	 ready 0 	 ready 0 
before cycle: 219 ready 0 	 ready 0 	 running 9	 ready 0 	 ready 0 
before cycle: 220 ready 0 	 ready 0 	 running 8	 ready 0 	 ready 0 
before cycle: 221 ready 0 	 ready 0 	 running 7	 ready 0 	 ready 0 
before cycle: 222 ready 0 	 ready 0 	 running 6	 ready 0 	 ready 0 
before cycle: 223 ready 0 	 ready 0 	 running 5	 ready 0 	 ready 0 
before cycle: 224 ready 0 	 ready 0 	 running 4	 ready 0 	 ready 0 
before cycle: 225 ready 0 	 ready 0 	 running 3	 ready 0 	 ready 0 
before cycle: 226 ready 0 	 ready 0 	 running 2	 ready 0 	 ready 0 
before cycle: 227 ready 0 	 ready 0 	 running 1	 ready 0 	 ready 0 
before cycle: 228 running 2	 ready 0 	 blocked 2	 ready 0 	 ready 0 
before cycle: 229 running 1	 ready 0 	 blocked 1	 ready 0 	 ready 0 
before cycle: 230 blocked 3	 ready 0 	 ready 0 	 running 1	 ready 0 
before cycle: 231 blocked 2	 ready 0 	 ready 0 	 blocked 1	 running 63
before cycle: 232 blocked 1	 ready 0 	 ready 0 	 ready 0 	 running 62
before cycle: 233 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 61
before cycle: 234 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 60
before cycle: 235 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 59
before cycle: 236 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 58
before cycle: 237 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 57
before cycle: 238 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 56
before cycle: 239 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 55
before cycle: 240 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 54
before cycle: 241 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 53
before cycle: 242 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 52
before cycle: 243 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 51
before cycle: 244 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 50
before cycle: 245 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 49
before cycle: 246 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 48
before cycle: 247 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 47
before cycle: 248 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 46
before cycle: 249 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 45
before cycle: 250 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 44
before cycle: 251 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 43
before cycle: 252 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 42
before cycle: 253 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 41
before cycle: 254 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 40
before cycle: 255 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 39
before cycle: 256 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 38
before cycle: 257 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 37
before cycle: 258 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 36
before cycle: 259 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 35
before cycle: 260 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 34
before cycle: 261 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 33
